name,stars,number_of_reviews,description,details,author,opinions_url
Hábitos atómicos (Spanish Edition),4.8 out of 5 stars,"9,745 ratings","HÁBITOS ATÓMICOS parte de una simple pero poderosa pregunta: ¿Cómo podemos vivir mejor? Sabemos que unos buenos hábitos nos permiten mejorar significativamente nuestra vida, pero con frecuencia nos desviamos del camino: dejamos de hacer ejercicio, comemos mal, dormimos poco, despilfarramos. ¿Por qué es tan fácil caer en los malos hábitos y tan complicado seguir los buenos? James Clear nos brinda fantásticas ideas basadas en investigaciones científicas, que le permiten revelarnos cómo podemos transformar pequeños hábitos cotidianos para cambiar nuestra vida y mejorarla. Esta guía pone al descubierto las fuerzas ocultas que moldean nuestro comportamiento ―desde nuestra mentalidad, pasando por el ambiente y hasta la genética― y nos demuestra cómo aplicar cada cambio a nuestra vida y a nuestro trabajo. Después de leer este libro, tendrás un método sencillo para desarrollar un sistema eficaz que te conducirá al éxito. Aprende cómo… • Darte tiempo para desarrollar nuevos hábitos • Superar la falta de motivación y de fuerza de voluntad • Diseñar un ambiente para que el éxito sea fácil de alcanzar • Regresar al buen camino cuando te hayas desviado un poco. El instantáneo Bestseller del New York Rimes Cambios minúsculos, resultados notables.","Publisher
                                    ‏
                                        :
                                    ‎
                                 Planeta Publishing; Translation edition (June 11, 2019) Publisher
                                    ‏
                                        :
                                    ‎ Planeta Publishing; Translation edition (June 11, 2019) Language
                                    ‏
                                        :
                                    ‎
                                 Spanish Language
                                    ‏
                                        :
                                    ‎ Spanish Paperback
                                    ‏
                                        :
                                    ‎
                                 328 pages Paperback
                                    ‏
                                        :
                                    ‎ 328 pages ISBN-10
                                    ‏
                                        :
                                    ‎
                                 6077476714 ISBN-10
                                    ‏
                                        :
                                    ‎ 6077476714 ISBN-13
                                    ‏
                                        :
                                    ‎
                                 978-6077476719 ISBN-13
                                    ‏
                                        :
                                    ‎ 978-6077476719 Item Weight
                                    ‏
                                        :
                                    ‎
                                 11.2 ounces Item Weight
                                    ‏
                                        :
                                    ‎ 11.2 ounces Dimensions
                                    ‏
                                        :
                                    ‎
                                 5.91 x 0.8 x 9.06 inches Dimensions
                                    ‏
                                        :
                                    ‎ 5.91 x 0.8 x 9.06 inches Best Sellers Rank:  #274,988 in Books (See Top 100 in Books)   #4,922 in Motivational Self-Help (Books)  #6,889 in Libros en español Best Sellers Rank: #4,922 in Motivational Self-Help (Books) #6,889 in Libros en español Customer Reviews:  

 
   4.8  4.8 out of 5 stars    
    9,745 ratings Customer Reviews: 4.8  4.8 out of 5 stars 4.8  4.8 out of 5 stars 4.8  4.8 out of 5 stars 4.8 4.8 out of 5 stars   9,745 ratings 9,745 ratings",About the authors James Clear Gabriela Moya,https://www.amazon.com/H%C3%A1bitos-at%C3%B3micos-Spanish-James-Clear/product-reviews/6077476714/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
PRINCIPITO EL,4.9 out of 5 stars,"8,476 ratings",desc not available ,"Language
                                    ‏
                                        :
                                    ‎
                                 Spanish Language
                                    ‏
                                        :
                                    ‎ Spanish ISBN-10
                                    ‏
                                        :
                                    ‎
                                 6076189495 ISBN-10
                                    ‏
                                        :
                                    ‎ 6076189495 ISBN-13
                                    ‏
                                        :
                                    ‎
                                 978-6076189498 ISBN-13
                                    ‏
                                        :
                                    ‎ 978-6076189498 Item Weight
                                    ‏
                                        :
                                    ‎
                                 6.3 ounces Item Weight
                                    ‏
                                        :
                                    ‎ 6.3 ounces Dimensions
                                    ‏
                                        :
                                    ‎
                                 5.43 x 0.31 x 8.82 inches Dimensions
                                    ‏
                                        :
                                    ‎ 5.43 x 0.31 x 8.82 inches Best Sellers Rank:  #4,579,827 in Books (See Top 100 in Books)   #236,105 in Libros en español Best Sellers Rank: #236,105 in Libros en español Customer Reviews:  

 
   4.9  4.9 out of 5 stars    
    8,476 ratings Customer Reviews: 4.9  4.9 out of 5 stars 4.9  4.9 out of 5 stars 4.9  4.9 out of 5 stars 4.9 4.9 out of 5 stars   8,476 ratings 8,476 ratings",About the author Antoine de Saint-Exupéry,https://www.amazon.com/PRINCIPITO-EL-Varios/product-reviews/6076189495/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"ABC DE LA ALIMENTACIÓN COMPLEMENTARIA, Guía ilustrada sobre cómo presentar los primeros alimentos a tú bebé con los métodos de papilla, BLISS y BLW. Libro de pasta suave",4.8 out of 5 stars,116 ratings,"El ABC de la alimentación complementaria es una guía ilustrada sobre cómo presentar los primeros alimentos a tú bebé con los métodos de papilla, BLISS y BLW. Las herramientas que necesitas conocer para iniciar la alimentación complementaria de una forma tranquila y segura. Resuelve dudas como: ¿Cuándo iniciar la alimentación complementaria? ¿Cuáles son los distintos métodos de alimentación complementaria? ¿Qué alimentos son alergénicos o pueden ser riesgo de asfixia? ¿Qué alimentos evitar antes del año de edad? ¿Es necesario ofrecer los 5 grupos de alimentos en cada tiempo de comida? Entre muchas otras dudas. Es es libro más completo sobre la alimentación complementaria.","Publisher
                                    ‏
                                        :
                                    ‎
                                 Metrocolor SA de Cv (January 1, 2020) Publisher
                                    ‏
                                        :
                                    ‎ Metrocolor SA de Cv (January 1, 2020) Language
                                    ‏
                                        :
                                    ‎
                                 Latin Spanish Language
                                    ‏
                                        :
                                    ‎ Latin Spanish Paperback
                                    ‏
                                        :
                                    ‎
                                 344 pages Paperback
                                    ‏
                                        :
                                    ‎ 344 pages ISBN-10
                                    ‏
                                        :
                                    ‎
                                 6079919605 ISBN-10
                                    ‏
                                        :
                                    ‎ 6079919605 ISBN-13
                                    ‏
                                        :
                                    ‎
                                 978-6079919603 ISBN-13
                                    ‏
                                        :
                                    ‎ 978-6079919603 Reading age
                                    ‏
                                        :
                                    ‎
                                 16 years and up Reading age
                                    ‏
                                        :
                                    ‎ 16 years and up Item Weight
                                    ‏
                                        :
                                    ‎
                                 1.96 pounds Item Weight
                                    ‏
                                        :
                                    ‎ 1.96 pounds Dimensions
                                    ‏
                                        :
                                    ‎
                                 9.06 x 0.79 x 7.68 inches Dimensions
                                    ‏
                                        :
                                    ‎ 9.06 x 0.79 x 7.68 inches  Customer Reviews:  

 
   4.8  4.8 out of 5 stars    
    116 ratings Customer Reviews: 4.8  4.8 out of 5 stars 4.8  4.8 out of 5 stars 4.8  4.8 out of 5 stars 4.8 4.8 out of 5 stars   116 ratings 116 ratings",About the author Daniela Gutiérrez de Velasco,https://www.amazon.com/ALIMENTACI%C3%93N-COMPLEMENTARIA-ilustrada-presentar-alimentos/product-reviews/6079919605/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
Product name not available ,average_Customer_Reviews not available ,average_Customer_Reviews not available ,desc not available ,details_of_product not available ,authors_detail not available ,all_reviews_link not available 
Este dolor no es mío: Identifica y resuelve los traumas familiares heredados,4.7 out of 5 stars,"4,110 ratings","DEPRESIÓN. ANSIEDAD. DOLORES CRÓNICOS. FOBIAS. PENSAMIENTOS OBSESIVOS. La evidencia científca muestra que los traumas pueden ser heredados. Existen pruebas fiables de que muchos problemas crónicos o de largo plazo pueden no tener su origen en nuestras vivencias inmediatas o en desequilibrios químicos de nuestro cerebro, sino en las vidas de nuestros padres, abuelos o bisabuelos. Mark Wolynn, fundador y director del Instituto de Constelaciones Familiares (FCI) y pionero en el estudio de los traumas familiares heredados, presenta en ""Este dolor no es mío"" un enfoque transformador que permite resolver problemas crónicos que no han podido ser aliviados mediante la terapia tradicional, los medicamentos u otras medidas.","Publisher
                                    ‏
                                        :
                                    ‎
                                 Gaia Ediciones; 1st edition (September 15, 2017) Publisher
                                    ‏
                                        :
                                    ‎ Gaia Ediciones; 1st edition (September 15, 2017) Language
                                    ‏
                                        :
                                    ‎
                                 Spanish Language
                                    ‏
                                        :
                                    ‎ Spanish Paperback
                                    ‏
                                        :
                                    ‎
                                 288 pages Paperback
                                    ‏
                                        :
                                    ‎ 288 pages ISBN-10
                                    ‏
                                        :
                                    ‎
                                 8484456811 ISBN-10
                                    ‏
                                        :
                                    ‎ 8484456811 ISBN-13
                                    ‏
                                        :
                                    ‎
                                 978-8484456810 ISBN-13
                                    ‏
                                        :
                                    ‎ 978-8484456810 Item Weight
                                    ‏
                                        :
                                    ‎
                                 13.1 ounces Item Weight
                                    ‏
                                        :
                                    ‎ 13.1 ounces Dimensions
                                    ‏
                                        :
                                    ‎
                                 5.71 x 0.59 x 8.27 inches Dimensions
                                    ‏
                                        :
                                    ‎ 5.71 x 0.59 x 8.27 inches Best Sellers Rank:  #5,156 in Books (See Top 100 in Books)   #6 in Popular Psychology Psychoanalysis  #11 in Popular Applied Psychology  #11 in Popular Psychology Psychotherapy Best Sellers Rank: #6 in Popular Psychology Psychoanalysis #11 in Popular Applied Psychology #11 in Popular Psychology Psychotherapy Customer Reviews:  

 
   4.7  4.7 out of 5 stars    
    4,110 ratings Customer Reviews: 4.7  4.7 out of 5 stars 4.7  4.7 out of 5 stars 4.7  4.7 out of 5 stars 4.7 4.7 out of 5 stars   4,110 ratings 4,110 ratings",About the author Mark Wolynn,https://www.amazon.com/Este-dolor-no-es-m%C3%ADo/product-reviews/8484456811/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
La revolución de la glucosa: Equilibra tus niveles de glucosa y cambiarás tu salud y tu vida / Glucose Revolution: The Life-Changing Power of Balancing Your Blood Sugar (Spanish Edition),4.7 out of 5 stars,"1,888 ratings","Equilibra tus niveles de glucosa y cambiarás tu salud y tu vida Mejora todos los aspectos de tu salud, desde el peso, el sueño, los antojos, el estado de ánimo, la energía, la piel… e incluso retrasa el envejecimiento con trucos fáciles de implementar y basados en la ciencia que te ayudan a controlar tus niveles de azúcar en sangre mientras sigues comiendo los alimentos que te encantan. La glucosa, o azúcar en la sangre, es una molécula diminuta que tiene un gran impacto en nuestra salud. Entra en nuestro torrente sanguíneo a través de los alimentos ricos en almidón o dulces que comemos. El noventa por ciento de las personas sufren de demasiada glucosa en su sistema, y la mayoría no lo saben. ¿Los síntomas? Antojos, fatiga, infertilidad, problemas hormonales, acné, arrugas… Y con el tiempo, el desarrollo de enfermedades como la Diabetes tipo 2, Síndrome de Ovario Poliquístico, cáncer, demencia y enfermedades del corazón. Basándose en ciencia de vanguardia y en su propia investigación pionera, la bioquímica Jessie Inchauspé ofrece diez trucos simples y sorprendentes para ayudarnos a equilibrar nuestros niveles de glucosa y revertir sus síntomas, sin ponernos a dieta y sin renunciar a los alimentos que amamos. Por ejemplo: Comer los alimentos en el orden correcto te hará perder peso sin esfuerzo. Comer los alimentos en el orden correcto te hará perder peso sin esfuerzo. ¿Qué ingrediente secreto te permitirá comer postre y aun así entrar en el modo quemagrasa? ¿Qué ingrediente secreto te permitirá comer postre y aun así entrar en el modo quemagrasa? ¿Qué pequeño cambio en tu desayuno desbloqueará energía y reducirá tus antojos? ¿Qué pequeño cambio en tu desayuno desbloqueará energía y reducirá tus antojos? Entretenido, informativo y repleto de los datos científicos más recientes, este libro presenta una nueva forma de pensar para mejorar tu salud. La revolución de la glucosa está repleto de consejos que pueden mejorar tu vida de manera drástica e inmediata, independientemente de cuáles sean tus preferencias dietéticas. ENGLISH DESCRIPTION Dietary science is on the move. For decades, people were wrongly focused on reducing fat and calories, whereas we now know that the real trouble-makers are the foods that deregulate our blood sugar levels.In writing both clear and empathetic, biochemist Jessie Inchauspé explains why blood sugar spikes are so bad for us and how to flatten those spikes to transform our health.By analysing decades of research and running thousands of original experiments on herself wearing a continuous glucose monitor, she has distilled 10 simple and surprising hacks that can be easily incorporated into everyday life.By the end of this book, you'll be aware of how food impacts your biology. You'll know which breakfast choices may be causing your cravings, in which order you should eat the food on your plate, what not to do on an empty stomach, which foods lead to mood swings, and how to avoid being sleepy at 3pm. You'll evolve the way you eat, take control of your health, and your life will flourish.","Publisher
                                    ‏
                                        :
                                    ‎
                                 Planeta Publishing (August 25, 2022) Publisher
                                    ‏
                                        :
                                    ‎ Planeta Publishing (August 25, 2022) Language
                                    ‏
                                        :
                                    ‎
                                 Spanish Language
                                    ‏
                                        :
                                    ‎ Spanish Paperback
                                    ‏
                                        :
                                    ‎
                                 312 pages Paperback
                                    ‏
                                        :
                                    ‎ 312 pages ISBN-10
                                    ‏
                                        :
                                    ‎
                                 6070790510 ISBN-10
                                    ‏
                                        :
                                    ‎ 6070790510 ISBN-13
                                    ‏
                                        :
                                    ‎
                                 978-6070790515 ISBN-13
                                    ‏
                                        :
                                    ‎ 978-6070790515 Item Weight
                                    ‏
                                        :
                                    ‎
                                 11.4 ounces Item Weight
                                    ‏
                                        :
                                    ‎ 11.4 ounces Dimensions
                                    ‏
                                        :
                                    ‎
                                 6 x 0.75 x 9 inches Dimensions
                                    ‏
                                        :
                                    ‎ 6 x 0.75 x 9 inches Best Sellers Rank:  #14,947 in Books (See Top 100 in Books)   #9 in General Diabetes Health  #104 in Weight Loss Diets (Books)  #148 in Other Diet Books Best Sellers Rank: #9 in General Diabetes Health #104 in Weight Loss Diets (Books) #148 in Other Diet Books Customer Reviews:  

 
   4.7  4.7 out of 5 stars    
    1,888 ratings Customer Reviews: 4.7  4.7 out of 5 stars 4.7  4.7 out of 5 stars 4.7  4.7 out of 5 stars 4.7 4.7 out of 5 stars   1,888 ratings 1,888 ratings",About the author Jessie Inchauspe,https://www.amazon.com/revoluci%C3%B3n-glucosa-Equilibra-Revolution-Life-Changing/product-reviews/6070790510/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
Viajar cambiará tu vida (Spanish Edition),4.6 out of 5 stars,56 ratings,"¡EL ESPERADO LIBRO QUE REVELA EL DETRÁS DE CÁMARAS DE LOS VIAJES DE ALAN X EL MUNDO!Alan Estrada, host del canal de YouTube con 3.3 millones de suscriptores, te cuenta lo que ha aprendido en lugares asombrosos y aterradores por igual: desde la primera vez que viajó de mochilero a Cuba y la odisea de sobrevivir a la India hasta la sensación de sumergirse a 3,800 m para encontrarse con los restos del Titanic.El autor, quien ha recorrido prácticamente todo el mundo, te explica cómo mantener viva la chispa del asombro en cada viaje, la importancia de admitir que no lo sabes todo, y que viajar es peligrosísimo porque puede cambiarte la vida.Este libro es la señal que necesitabas para emprender tu propia aventura. Compra ese boleto, pide esos días de vacaciones y descubre, con la guía de Alan, la versión de ti que está esperándote fuera de tu zona de confort.","Publisher
                                    ‏
                                        :
                                    ‎
                                 Planeta Publishing (September 26, 2023) Publisher
                                    ‏
                                        :
                                    ‎ Planeta Publishing (September 26, 2023) Language
                                    ‏
                                        :
                                    ‎
                                 Spanish Language
                                    ‏
                                        :
                                    ‎ Spanish Paperback
                                    ‏
                                        :
                                    ‎
                                 288 pages Paperback
                                    ‏
                                        :
                                    ‎ 288 pages ISBN-10
                                    ‏
                                        :
                                    ‎
                                 6070748514 ISBN-10
                                    ‏
                                        :
                                    ‎ 6070748514 ISBN-13
                                    ‏
                                        :
                                    ‎
                                 978-6070748516 ISBN-13
                                    ‏
                                        :
                                    ‎ 978-6070748516 Item Weight
                                    ‏
                                        :
                                    ‎
                                 11.4 ounces Item Weight
                                    ‏
                                        :
                                    ‎ 11.4 ounces Dimensions
                                    ‏
                                        :
                                    ‎
                                 5.8 x 0.8 x 8.9 inches Dimensions
                                    ‏
                                        :
                                    ‎ 5.8 x 0.8 x 8.9 inches Best Sellers Rank:  #48,118 in Books (See Top 100 in Books)   #618 in Libros en español  #1,243 in Travel (Books) Best Sellers Rank: #618 in Libros en español #1,243 in Travel (Books) Customer Reviews:  

 
   4.6  4.6 out of 5 stars    
    56 ratings Customer Reviews: 4.6  4.6 out of 5 stars 4.6  4.6 out of 5 stars 4.6  4.6 out of 5 stars 4.6 4.6 out of 5 stars   56 ratings 56 ratings",About the author Alan Estrada,https://www.amazon.com/Viajar-cambiar%C3%A1-tu-vida-Spanish/product-reviews/6070748514/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
Paw Patrol Jumbo. Libro de actividades,4.8 out of 5 stars,"2,275 ratings",desc not available ,"Language
                                    ‏
                                        :
                                    ‎
                                 Spanish Language
                                    ‏
                                        :
                                    ‎ Spanish ISBN-10
                                    ‏
                                        :
                                    ‎
                                 607212352X ISBN-10
                                    ‏
                                        :
                                    ‎ 607212352X ISBN-13
                                    ‏
                                        :
                                    ‎
                                 978-6072123526 ISBN-13
                                    ‏
                                        :
                                    ‎ 978-6072123526 Item Weight
                                    ‏
                                        :
                                    ‎
                                 12.7 ounces Item Weight
                                    ‏
                                        :
                                    ‎ 12.7 ounces Best Sellers Rank:  #7,232,709 in Books (See Top 100 in Books)   #2,328 in Repeaters  #407,408 in Libros en español Best Sellers Rank: #2,328 in Repeaters #407,408 in Libros en español Customer Reviews:  

 
   4.8  4.8 out of 5 stars    
    2,275 ratings Customer Reviews: 4.8  4.8 out of 5 stars 4.8  4.8 out of 5 stars 4.8  4.8 out of 5 stars 4.8 4.8 out of 5 stars   2,275 ratings 2,275 ratings",,https://www.amazon.com/Paw-Patrol-Jumbo-Libro-actividades/product-reviews/607212352X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
Hay un T-Rex en la ciudad,4.9 out of 5 stars,812 ratings,desc not available ,"Language
                                    ‏
                                        :
                                    ‎
                                 Spanish Language
                                    ‏
                                        :
                                    ‎ Spanish ISBN-10
                                    ‏
                                        :
                                    ‎
                                 6072107788 ISBN-10
                                    ‏
                                        :
                                    ‎ 6072107788 ISBN-13
                                    ‏
                                        :
                                    ‎
                                 978-6072107786 ISBN-13
                                    ‏
                                        :
                                    ‎ 978-6072107786 Item Weight
                                    ‏
                                        :
                                    ‎
                                 13.4 ounces Item Weight
                                    ‏
                                        :
                                    ‎ 13.4 ounces Dimensions
                                    ‏
                                        :
                                    ‎
                                 9.45 x 0.39 x 10.24 inches Dimensions
                                    ‏
                                        :
                                    ‎ 9.45 x 0.39 x 10.24 inches Best Sellers Rank:  #1,418,493 in Books (See Top 100 in Books)   #56,971 in Libros en español Best Sellers Rank: #56,971 in Libros en español Customer Reviews:  

 
   4.9  4.9 out of 5 stars    
    812 ratings Customer Reviews: 4.9  4.9 out of 5 stars 4.9  4.9 out of 5 stars 4.9  4.9 out of 5 stars 4.9 4.9 out of 5 stars   812 ratings 812 ratings",,https://www.amazon.com/Hay-T-Rex-en-ciudad-LAROUSSE/product-reviews/6072107788/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
Aduoke Cómo hacer que te pasen cosas buenas. Nueva Edición,4.8 out of 5 stars,"10,904 ratings",ceffdqwvsdq,"Language
                                    ‏
                                        :
                                    ‎
                                 Spanish Language
                                    ‏
                                        :
                                    ‎ Spanish ISBN-10
                                    ‏
                                        :
                                    ‎
                                 6073903359 ISBN-10
                                    ‏
                                        :
                                    ‎ 6073903359 ISBN-13
                                    ‏
                                        :
                                    ‎
                                 978-6073903356 ISBN-13
                                    ‏
                                        :
                                    ‎ 978-6073903356 Item Weight
                                    ‏
                                        :
                                    ‎
                                 10.2 ounces Item Weight
                                    ‏
                                        :
                                    ‎ 10.2 ounces Dimensions
                                    ‏
                                        :
                                    ‎
                                 5.91 x 0.59 x 9.06 inches Dimensions
                                    ‏
                                        :
                                    ‎ 5.91 x 0.59 x 9.06 inches  Customer Reviews:  

 
   4.8  4.8 out of 5 stars    
    10,904 ratings Customer Reviews: 4.8  4.8 out of 5 stars 4.8  4.8 out of 5 stars 4.8  4.8 out of 5 stars 4.8 4.8 out of 5 stars   10,904 ratings 10,904 ratings",About the author Marian Rojas Estapé,https://www.amazon.com/product-reviews/6073903359/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
