number,product_url,already_scraped
1,https://www.amazon.com.mx/H%C3%A1bitos-At%C3%B3micos-James-Clear/dp/6077476714/ref=zg_bs_g_books_sccl_1/137-7391295-0351748?psc=1,yes
2,https://www.amazon.com.mx/Identifica-resuelve-traumas-familiares-heredados/dp/8484456811/ref=zg_bs_g_books_sccl_2/137-7391295-0351748?psc=1,yes
3,https://www.amazon.com.mx/El-Principito-Antoine-Saint-Exup%C3%A9ry/dp/6076189495/ref=zg_bs_g_books_sccl_3/137-7391295-0351748?psc=1,yes
4,https://www.amazon.com.mx/Beyond-Story-Cr%C3%B3nica-a%C3%B1os-BTS/dp/607383490X/ref=zg_bs_g_books_sccl_4/137-7391295-0351748?psc=1,yes
5,https://www.amazon.com.mx/Descubre-mejores-amigos-Garc%C3%ADa-Cerezo/dp/6072128947/ref=zg_bs_g_books_sccl_5/137-7391295-0351748?psc=1,yes
6,https://www.amazon.com.mx/El-dinosaurio-disfrazado-Macario-Schettino/dp/607569532X/ref=zg_bs_g_books_sccl_6/137-7391295-0351748?psc=1,yes
7,https://www.amazon.com.mx/revoluci%C3%B3n-glucosa-Jessie-Inchausp%C3%A9/dp/6070790510/ref=zg_bs_g_books_sccl_7/137-7391295-0351748?psc=1,yes
8,https://www.amazon.com.mx/Los-Cuatro-Acuerdos-Miguel-Ruiz/dp/6079513978/ref=zg_bs_g_books_sccl_8/137-7391295-0351748?psc=1,yes
9,https://www.amazon.com.mx/ni%C3%B1o-que-toco-las-estrellas/dp/607744331X/ref=zg_bs_g_books_sccl_9/137-7391295-0351748?psc=1,yes
10,https://www.amazon.com.mx/Deja-Ser-Tu-Joe-Dispenza/dp/6079344084/ref=zg_bs_g_books_sccl_10/137-7391295-0351748?psc=1,yes
11,https://www.amazon.com.mx/hacer-pasen-cosas-buenas-Edici%C3%B3n/dp/6073903359/ref=zg_bs_g_books_sccl_11/137-7391295-0351748?psc=1,yes
12,https://www.amazon.com.mx/Diccionario-pocket-franc%C3%A9s-Editorial-Larousse/dp/9702202159/ref=zg_bs_g_books_sccl_12/137-7391295-0351748?psc=1,yes
13,https://www.amazon.com.mx/El-hombre-en-busca-sentido/dp/8425432022/ref=zg_bs_g_books_sccl_13/137-7391295-0351748?psc=1,yes
14,https://www.amazon.com.mx/biblioteca-media-noche-Matt-Haig/dp/607550771X/ref=zg_bs_g_books_sccl_14/137-7391295-0351748?psc=1,yes
15,https://www.amazon.com.mx/ALIMENTACI%C3%93N-COMPLEMENTARIA-ilustrada-presentar-alimentos/dp/6079919605/ref=zg_bs_g_books_sccl_15/137-7391295-0351748?psc=1,yes
