index,name,stars,title,date,text
0,Rodolfo Peña,4.0 out of 5 stars,Práctico,"Reviewed in the United States on August 17, 2023","Simple de aplicar. Con un enfoque, correcto a mi parecer, que se centra en construir una identidad adecuada para que tus hábitos se fundamenten en esta identidad."
0,KlAguilara,5.0 out of 5 stars,Excelente libro!,"Reviewed in the United States on August 14, 2023",De lo mejor que he leído en años!
1,Betsy,5.0 out of 5 stars,Muy bonito,"Reviewed in Mexico on August 20, 2023","Está muy bonito el libro, pasta dura y llegó antes de lo previsto y en buen estado."
1,Karina Estefania Lagunes Garcia,5.0 out of 5 stars,Exelente,"Reviewed in Mexico on August 20, 2023","Buena calidad y buen precio, exelente libro"
1,Celina Herrera,5.0 out of 5 stars,Buen libro,"Reviewed in Mexico on August 20, 2023",Buen libro
1,Ara,5.0 out of 5 stars,Llegó en buen estado,"Reviewed in Mexico on August 12, 2023","Llegó en día y medio, buen estado, pasta dura. Todo bien."
1,Brenda C.,5.0 out of 5 stars,Excelente calidad,"Reviewed in Mexico on August 10, 2023","Es pasta gruesa, me llegó en buen estado, está muy bonito"
1,Gloria mercedes,5.0 out of 5 stars,Hermosos libro,"Reviewed in Mexico on August 15, 2023",Hermosos libro
1,Alex Casanova,5.0 out of 5 stars,Muy buen producto,"Reviewed in Mexico on August 4, 2023",Muy buen libro para empezar a inculcar a tus hijos la lectura
1,Cliente de Amazon,5.0 out of 5 stars,Lectura para todas las edades.,"Reviewed in Mexico on July 23, 2023","Excelente lectura, que tiende en la búsqueda del niño interior que llevamos dentro y a mirar las cosas con amor no desde los ojos si no desde nuestro interior en donde perpleja una bonita enseñanza. 100% recomendado."
1,Daniela,5.0 out of 5 stars,Llego bien,"Reviewed in Mexico on August 7, 2023",Llego bien empaquetado sin ningún detalle
1,Eugenio,5.0 out of 5 stars,Principito,"Reviewed in Mexico on August 3, 2023",Gran libro y de buena calidad material
2,Jorge Alberto Castillo Camacho,5.0 out of 5 stars,Libro genial,"Reviewed in Mexico on August 19, 2023","Excelente producto con muy buena información, lo recomiendo al 100!!!"
2,Valeria Elizabeth Treviño Aguirre,5.0 out of 5 stars,Amo,"Reviewed in Mexico on August 15, 2023",Ame este libro!!! Soy mamá primeriza y me sirve de mucho apoyo!
2,Yesenia arguelles,5.0 out of 5 stars,Buen libro!,"Reviewed in Mexico on August 6, 2023",Contiene toda la información necesaria para comenzar con la AC de tu bebé!
2,Familia Michel Calil,5.0 out of 5 stars,LO NECESITAS!,"Reviewed in Mexico on July 28, 2023",Es el libro que toda mamá que va a iniciar alimentación complementaria necesita. Explica todo muy simple y abarca muchisimo el tema. ESTOY ENCANTADA
2,Gicela,5.0 out of 5 stars,El contenido,"Reviewed in Mexico on August 18, 2023","Super recomendable el libro, no tenía idea de como empezar, mi bebé tiene 4.5 meses pero cero ideas de la introducción a la alimentación complementaria, lo encontré por recomendación de Marianis Rgz"
2,Roberto,5.0 out of 5 stars,informacion muy valiosa,"Reviewed in Mexico on July 18, 2023","el libro contiene mucha informacion sobre como iniciar la alimentación complementaria, varios tips y sobre todo imagenes de alimentos sobre como quedar en los dos tipos de presentacion ademas de las porciones"
2,Michelle,5.0 out of 5 stars,Básico,"Reviewed in Mexico on July 18, 2023","Es un básico para empezar AC, resuelve todas las dudas que te van surgiendo en el camino!"
2,Poul Mejia,5.0 out of 5 stars,Excelente libro!,"Reviewed in Mexico on July 21, 2023",Es el libro más completo sobre alimentación complementaria
2,Anna Navarro,5.0 out of 5 stars,Información bastante útil,"Reviewed in Mexico on July 2, 2023",Muy buen libro para saber lo básico sobre alimentación complementaria. Tiene buenos tips e información sobre los alimentos
